NUTS_ID,CROP_NAME,VARIABLE,AVG_VALUE,YEAR_MIN,YEAR_MAX,YEAR_COUNT,UNIT,SOURCE
DE409,Total wheat,Area,31462.75,2007,2020,4,ha,NSI
DE40A,Total wheat,Area,3454.5,2007,2020,4,ha,NSI
DE40B,Total wheat,Area,1879.25,2007,2020,4,ha,NSI
DE40C,Total wheat,Area,5222.5,2007,2020,4,ha,NSI
DE40D,Total wheat,Area,9260.5,2007,2020,4,ha,NSI
DE40E,Total wheat,Area,5567.75,2007,2020,4,ha,NSI
DE40F,Total wheat,Area,14881.75,2007,2020,4,ha,NSI
DE40G,Total wheat,Area,3661.75,2007,2020,4,ha,NSI
DE40H,Total wheat,Area,7451.0,2007,2020,4,ha,NSI
DE40I,Total wheat,Area,48418.25,2007,2020,4,ha,NSI
DE600,Total wheat,Area,1289.0,2007,2007,1,ha,NSI
DE712,Total wheat,Area,1451.3333333333333,2007,2020,3,ha,NSI
DE714,Total wheat,Area,1538.0,2007,2020,4,ha,NSI
DE715,Total wheat,Area,3862.25,2007,2020,4,ha,NSI
DE716,Total wheat,Area,5873.333333333333,2010,2020,3,ha,NSI
DE717,Total wheat,Area,3706.5,2007,2020,4,ha,NSI
DE718,Total wheat,Area,2962.75,2007,2020,4,ha,NSI
DE719,Total wheat,Area,7338.333333333333,2010,2020,3,ha,NSI
DE71A,Total wheat,Area,2429.6666666666665,2010,2020,3,ha,NSI
DE71B,Total wheat,Area,1366.6666666666667,2010,2020,3,ha,NSI
DE71C,Total wheat,Area,662.3333333333334,2010,2020,3,ha,NSI
DE71D,Total wheat,Area,3808.0,2010,2020,3,ha,NSI
DE71E,Total wheat,Area,18115.75,2007,2020,4,ha,NSI
DE721,Total wheat,Area,8189.5,2007,2020,4,ha,NSI
DE722,Total wheat,Area,2351.3333333333335,2010,2020,3,ha,NSI
DE723,Total wheat,Area,8230.666666666666,2010,2020,3,ha,NSI
DE724,Total wheat,Area,8827.25,2007,2020,4,ha,NSI
DE725,Total wheat,Area,9110.25,2007,2020,4,ha,NSI
DE731,Total wheat,Area,161.0,2010,2020,3,ha,NSI
DE732,Total wheat,Area,6085.75,2007,2020,4,ha,NSI
DE733,Total wheat,Area,5289.25,2007,2020,4,ha,NSI
