,lon,lat,precip_additive,precip_mean
249,-1.411898,29.085658,222.70006,11.72105579
250,-1.094277,29.085658,216.5,11.39473684
251,-0.776656,29.085658,232.40004,12.23158105
252,-0.459035,29.085658,241.40009,12.70526789
253,20.503951,29.085658,118.89992,6.257890526
254,20.821572,29.085658,140.40001,7.389474211
255,21.139193,29.085658,149.49998,7.86842
256,21.456814,29.085658,155.19998,8.16842
257,21.774435,29.085658,149.90001,7.889474211
258,22.092056,29.085658,123.899956,6.521050316
259,22.409677,29.085658,108.89997,5.731577368
260,22.727298,29.085658,90.49997,4.763156316
261,23.044919,29.085658,84.19998,4.431577895
262,23.36254,29.085658,83.699974,4.405261789
263,23.680161,29.085658,86.899994,4.573683895
264,23.997782,29.085658,89.79999,4.726315263
265,24.315403,29.085658,87.89998,4.626314737
266,24.633024,29.085658,85.09997,4.478945789
267,24.950645,29.085658,82.99998,4.36842
268,25.268266,29.085658,82.399994,4.336841789
269,25.585887,29.085658,83.99997,4.421051053
270,25.903508,29.085658,85.29997,4.489472105
271,26.221129,29.085658,86.89998,4.573683158
272,26.53875,29.085658,81.799995,4.305262895
273,26.856371,29.085658,84.09998,4.426314737
274,27.173992,29.085658,88.49994,4.657891579
275,27.491613,29.085658,94.49997,4.973682632
276,27.809234,29.085658,106.29997,5.594735263
277,28.126855,29.085658,118.099976,6.215788211
278,28.444476,29.085658,120.79995,6.357892105
279,28.762097,29.085658,110.49997,5.815787895
280,29.079718,29.085658,104.899956,5.521050316
281,29.397339,29.085658,100.29997,5.278945789
282,29.71496,29.085658,99.69999,5.247367895
283,30.032581,29.085658,96.199974,5.063156526
284,30.350202,29.085658,87.69997,4.615787895
285,30.667823,29.085658,93.69996,4.931576842
286,30.985444,29.085658,139.00005,7.315792105
287,31.303065,29.085658,147.30008,7.752635789
288,31.620686,29.085658,145.20003,7.642106842
289,31.938307,29.085658,155.60014,8.189481053
290,32.255928,29.085658,156.10002,8.215790526
291,32.573549,29.085658,165.8001,8.726321053
292,32.89117,29.085658,222.50006,11.71052947
293,33.208791,29.085658,244.10028,12.84738316
294,33.526412,29.085658,273.60025,14.40001316
295,33.844033,29.085658,304.80032,16.04212211
296,34.161654,29.085658,301.6004,15.87370526
297,34.479275,29.085658,337.9002,17.78422105
298,34.796896,29.085658,387.30017,20.38421947
299,-10.305286,29.403279,2082.3955,109.5997632
300,-9.987665,29.403279,2034.0929,107.0575211
301,-9.670044,29.403279,1899.7933,99.98912105
302,-9.352423,29.403279,1811.1943,95.32601579
303,-9.034802,29.403279,1367.5962,71.97874737
304,-8.717181,29.403279,945.39856,49.75781895
305,-8.39956,29.403279,738.3002,38.85790526
306,-8.081939,29.403279,634.4003,33.38948947
307,-7.764318,29.403279,555.7002,29.24737895
308,-7.446697,29.403279,489.20047,25.74739316
309,-7.129076,29.403279,495.90048,26.10002526
310,-6.811455,29.403279,476.9005,25.10002632
311,-6.493834,29.403279,463.50043,24.39475947
312,-6.176213,29.403279,493.50067,25.97371947
313,-5.858592,29.403279,502.00046,26.42107684
314,-5.540971,29.403279,461.30032,24.27896421
315,-5.22335,29.403279,428.80045,22.56844474
316,-4.588108,29.403279,390.40005,20.54737105
317,-4.270487,29.403279,369.7,19.45789474
318,-3.952866,29.403279,345.20016,18.16842947
319,-3.635245,29.403279,313,16.47368421
320,-3.317624,29.403279,283.90005,14.94210789
321,-3.000003,29.403279,312.70013,16.45790158
